Format Version,1.22,Take Name,Kiryu's radar 3 turning,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.42.05.168 AM,Total Frames in Take,6671,Total Exported Frames,6671,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
4548,12.633333,0.003454,0.196570,0.065984,-0.978261,-1.800085,0.859193,-4.298735,0.000000,-1.664407,0.841286,-4.363358,0.748493,-1.745350,0.845450,-4.157092,0.844837,-1.653641,0.834326,-4.241917,0.837910,-1.939063,0.886773,-4.430152,0.828317,-1.997961,0.888128,-4.301156,0.686160,-1.664407,0.841286,-4.363358,-1.745350,0.845450,-4.157092,-1.653641,0.834326,-4.241917,-1.939063,0.886773,-4.430152,-1.997961,0.888128,-4.301156
4549,12.636111,0.005473,0.195840,0.066990,-0.978330,-1.800076,0.859359,-4.298562,0.000000,-1.664560,0.840855,-4.363355,0.917140,-1.745137,0.845954,-4.156966,0.870176,-1.653604,0.834284,-4.241909,0.888224,-1.939204,0.886869,-4.429836,0.893195,-1.997876,0.888833,-4.300745,0.750497,-1.664560,0.840855,-4.363355,-1.745137,0.845954,-4.156966,-1.653604,0.834284,-4.241909,-1.939204,0.886869,-4.429836,-1.997876,0.888833,-4.300745
4550,12.638889,0.979568,-0.093410,0.178102,-0.001120,-1.800131,0.859589,-4.298878,0.000000,-1.745903,0.845747,-4.158262,0.787657,-1.663589,0.840394,-4.363957,0.857678,-1.654887,0.834967,-4.238959,0.846826,-1.991234,0.888322,-4.299565,0.828597,-1.945043,0.888512,-4.433644,0.742207,-1.745903,0.845747,-4.158262,-1.663589,0.840394,-4.363957,-1.654887,0.834967,-4.238959,-1.991234,0.888322,-4.299565,-1.945043,0.888512,-4.433644
4551,12.641667,0.979576,-0.093032,0.178259,0.000654,-1.800156,0.859444,-4.298740,0.000000,-1.745923,0.846121,-4.158076,0.766443,-1.663614,0.840028,-4.363753,0.805838,-1.654907,0.835057,-4.238736,0.778659,-1.991262,0.888154,-4.299527,0.886598,-1.945075,0.887861,-4.433607,0.746591,-1.745923,0.846121,-4.158076,-1.663614,0.840028,-4.363753,-1.654907,0.835057,-4.238736,-1.991262,0.888154,-4.299527,-1.945075,0.887861,-4.433607
4552,12.644444,0.979717,-0.092279,0.177870,0.000700,-1.799995,0.859345,-4.298628,0.000000,-1.745627,0.846142,-4.158005,0.765946,-1.663477,0.840113,-4.363748,0.789593,-1.654661,0.835190,-4.238737,0.818385,-1.991144,0.887771,-4.299266,0.922969,-1.945066,0.887508,-4.433384,0.772330,-1.745627,0.846142,-4.158005,-1.663477,0.840113,-4.363748,-1.654661,0.835190,-4.238737,-1.991144,0.887771,-4.299266,-1.945066,0.887508,-4.433384
4553,12.647222,0.979545,-0.093124,0.178375,0.001428,-1.800029,0.859419,-4.298723,0.000000,-1.745815,0.846283,-4.158034,0.856565,-1.663489,0.839842,-4.363693,0.714997,-1.654797,0.835055,-4.238668,1.000000,-1.991121,0.888216,-4.299571,0.737950,-1.944922,0.887700,-4.433646,0.629627,-1.745815,0.846283,-4.158034,-1.663489,0.839842,-4.363693,-1.654797,0.835055,-4.238668,-1.991121,0.888216,-4.299571,-1.944922,0.887700,-4.433646
4554,12.650000,-0.004836,-0.195815,-0.066307,0.978385,-1.799955,0.859371,-4.298551,0.000000,-1.664409,0.841146,-4.363360,0.888471,-1.744995,0.845914,-4.156968,0.728853,-1.653443,0.834474,-4.241921,1.000000,-1.939125,0.886788,-4.429800,0.851683,-1.997800,0.888531,-4.300707,0.698723,-1.664409,0.841146,-4.363360,-1.744995,0.845914,-4.156968,-1.653443,0.834474,-4.241921,-1.939125,0.886788,-4.429800,-1.997800,0.888531,-4.300707
4555,12.652778,-0.005362,-0.195552,-0.066632,0.978413,-1.800112,0.859575,-4.298529,0.000000,-1.664620,0.841180,-4.363403,0.910702,-1.745079,0.846196,-4.156967,0.885821,-1.653587,0.834604,-4.241965,0.901465,-1.939337,0.886996,-4.429719,0.913838,-1.997934,0.888901,-4.300593,0.738322,-1.664620,0.841180,-4.363403,-1.745079,0.846196,-4.156967,-1.653587,0.834604,-4.241965,-1.939337,0.886996,-4.429719,-1.997934,0.888901,-4.300593
4556,12.655556,-0.005291,-0.195932,-0.066518,0.978345,-1.800003,0.859190,-4.298581,0.000000,-1.664455,0.840832,-4.363350,0.913594,-1.745077,0.845818,-4.156976,0.879843,-1.653516,0.834253,-4.241903,0.895799,-1.939132,0.886583,-4.429878,0.920287,-1.997831,0.888467,-4.300798,0.726765,-1.664455,0.840832,-4.363350,-1.745077,0.845818,-4.156976,-1.653516,0.834253,-4.241903,-1.939132,0.886583,-4.429878,-1.997831,0.888467,-4.300798
4557,12.658333,0.979632,-0.092859,0.178040,0.000220,-1.800107,0.859473,-4.298628,0.000000,-1.745815,0.846060,-4.157996,0.890988,-1.663579,0.840180,-4.363708,0.917626,-1.654824,0.835109,-4.238698,0.877664,-1.991227,0.888088,-4.299321,0.947050,-1.945090,0.887929,-4.433418,1.000000,-1.745815,0.846060,-4.157996,-1.663579,0.840180,-4.363708,-1.654824,0.835109,-4.238698,-1.991227,0.888088,-4.299321,-1.945090,0.887929,-4.433418
4558,12.661111,0.979587,-0.093248,0.178084,-0.000497,-1.800052,0.859352,-4.298790,0.000000,-1.745800,0.845696,-4.158165,0.788613,-1.663518,0.840088,-4.363867,0.777819,-1.654796,0.834821,-4.238863,0.814480,-1.991157,0.888066,-4.299484,0.882390,-1.944988,0.888090,-4.433571,0.699268,-1.745800,0.845696,-4.158165,-1.663518,0.840088,-4.363867,-1.654796,0.834821,-4.238863,-1.991157,0.888066,-4.299484,-1.944988,0.888090,-4.433571
4559,12.663889,0.979649,-0.092173,0.178302,-0.000359,-1.800161,0.859435,-4.298816,0.000000,-1.745934,0.845989,-4.158161,0.762029,-1.663563,0.840409,-4.363827,0.790993,-1.654877,0.835247,-4.238817,0.756289,-1.991325,0.887753,-4.299602,0.890709,-1.945105,0.887779,-4.433671,0.736767,-1.745934,0.845989,-4.158161,-1.663563,0.840409,-4.363827,-1.654877,0.835247,-4.238817,-1.991325,0.887753,-4.299602,-1.945105,0.887779,-4.433671
4560,12.666667,0.979666,-0.091948,0.178327,0.000579,-1.800117,0.859533,-4.298717,0.000000,-1.745870,0.846362,-4.158044,0.903943,-1.663525,0.840396,-4.363709,0.848661,-1.654822,0.835475,-4.238690,1.000000,-1.991284,0.887828,-4.299533,0.928170,-1.945081,0.887601,-4.433608,0.730569,-1.745870,0.846362,-4.158044,-1.663525,0.840396,-4.363709,-1.654822,0.835475,-4.238690,-1.991284,0.887828,-4.299533,-1.945081,0.887601,-4.433608
4561,12.669444,0.979574,-0.092482,0.178552,-0.000293,-1.800128,0.859430,-4.298806,0.000000,-1.745981,0.845957,-4.158123,0.908795,-1.663509,0.840311,-4.363747,0.836242,-1.654890,0.835151,-4.238732,1.000000,-1.991273,0.887871,-4.299690,0.926552,-1.944985,0.887858,-4.433736,0.753339,-1.745981,0.845957,-4.158123,-1.663509,0.840311,-4.363747,-1.654890,0.835151,-4.238732,-1.991273,0.887871,-4.299690,-1.944985,0.887858,-4.433736
4562,12.672222,0.979663,-0.092116,0.178257,0.000206,-1.800102,0.859513,-4.298758,0.000000,-1.745849,0.846219,-4.158098,0.908795,-1.663518,0.840402,-4.363774,0.836242,-1.654808,0.835379,-4.238760,1.000000,-1.991264,0.887847,-4.299538,0.926552,-1.945070,0.887719,-4.433616,0.753339,-1.745849,0.846219,-4.158098,-1.663518,0.840402,-4.363774,-1.654808,0.835379,-4.238760,-1.991264,0.887847,-4.299538,-1.945070,0.887719,-4.433616
4563,12.675000,-0.004677,-0.195943,-0.066029,0.978379,-1.800080,0.859427,-4.298618,0.000000,-1.664506,0.841296,-4.363394,0.883199,-1.745151,0.845978,-4.157022,0.855715,-1.653569,0.834608,-4.241953,0.825355,-1.939232,0.886784,-4.429899,0.930931,-1.997943,0.888468,-4.300822,0.731405,-1.664506,0.841296,-4.363394,-1.745151,0.845978,-4.157022,-1.653569,0.834608,-4.241953,-1.939232,0.886784,-4.429899,-1.997943,0.888468,-4.300822
4564,12.677778,-0.003755,-0.196491,-0.065973,0.978276,-1.800021,0.859252,-4.298740,0.000000,-1.664359,0.841295,-4.363380,0.912437,-1.745260,0.845586,-4.157100,0.881358,-1.653568,0.834404,-4.241938,0.896886,-1.939023,0.886769,-4.430146,0.920968,-1.997895,0.888205,-4.301139,0.728874,-1.664359,0.841295,-4.363380,-1.745260,0.845586,-4.157100,-1.653568,0.834404,-4.241938,-1.939023,0.886769,-4.430146,-1.997895,0.888205,-4.301139
4565,12.680556,0.979652,-0.092500,0.178116,0.000842,-1.800095,0.859590,-4.298706,0.000000,-1.745801,0.846394,-4.158054,0.857120,-1.663556,0.840274,-4.363755,0.855280,-1.654802,0.835377,-4.238739,0.857180,-1.991229,0.888110,-4.299443,0.889001,-1.945088,0.887792,-4.433538,0.688013,-1.745801,0.846394,-4.158054,-1.663556,0.840274,-4.363755,-1.654802,0.835377,-4.238739,-1.991229,0.888110,-4.299443,-1.945088,0.887792,-4.433538
4566,12.683333,-0.004515,-0.195794,-0.066748,0.978360,-1.799970,0.859197,-4.298588,0.000000,-1.664437,0.840924,-4.363410,0.882072,-1.745023,0.845586,-4.157015,0.841072,-1.653478,0.834146,-4.241976,0.848952,-1.939118,0.886823,-4.429817,0.923712,-1.997795,0.888506,-4.300724,0.780361,-1.664437,0.840924,-4.363410,-1.745023,0.845586,-4.157015,-1.653478,0.834146,-4.241976,-1.939118,0.886823,-4.429817,-1.997795,0.888506,-4.300724
4567,12.686111,0.979541,-0.092574,0.178688,-0.000102,-1.800292,0.859323,-4.298923,0.000000,-1.746183,0.845888,-4.158222,0.903869,-1.663662,0.840145,-4.363824,0.861185,-1.655075,0.835029,-4.238805,0.885962,-1.991430,0.887812,-4.299865,0.920120,-1.945109,0.887739,-4.433899,0.722200,-1.746183,0.845888,-4.158222,-1.663662,0.840145,-4.363824,-1.655075,0.835029,-4.238805,-1.991430,0.887812,-4.299865,-1.945109,0.887739,-4.433899
4568,12.688889,-0.005320,-0.195519,-0.067430,0.978365,-1.800103,0.859308,-4.298523,0.000000,-1.664642,0.840729,-4.363409,0.898433,-1.745087,0.845786,-4.156968,0.708289,-1.653616,0.834087,-4.241974,1.000000,-1.939290,0.886997,-4.429698,0.783409,-1.997880,0.888941,-4.300569,0.655348,-1.664642,0.840729,-4.363409,-1.745087,0.845786,-4.156968,-1.653616,0.834087,-4.241974,-1.939290,0.886997,-4.429698,-1.997880,0.888941,-4.300569
4569,12.691667,-0.979517,0.092813,-0.178689,0.001368,-1.800240,0.859477,-4.298910,0.000000,-1.746165,0.845680,-4.158231,0.833651,-1.663594,0.840464,-4.363827,0.817363,-1.655037,0.835027,-4.238819,0.822004,-1.991377,0.887972,-4.299825,0.907821,-1.945023,0.888242,-4.433848,0.757907,-1.746165,0.845680,-4.158231,-1.663595,0.840464,-4.363827,-1.655037,0.835027,-4.238819,-1.991377,0.887972,-4.299825,-1.945023,0.888242,-4.433848
4570,12.694444,-0.979627,0.092490,-0.178258,-0.000473,-1.800116,0.859580,-4.298787,0.000000,-1.745869,0.846296,-4.158124,0.895343,-1.663550,0.840330,-4.363801,0.799761,-1.654840,0.835348,-4.238785,1.000000,-1.991254,0.888073,-4.299571,0.894876,-1.945065,0.887854,-4.433651,0.778068,-1.745869,0.846296,-4.158124,-1.663550,0.840330,-4.363801,-1.654840,0.835348,-4.238785,-1.991254,0.888073,-4.299571,-1.945065,0.887854,-4.433651
4571,12.697222,-0.979608,0.092561,-0.178329,-0.000154,-1.800127,0.859527,-4.298778,0.000000,-1.745909,0.846151,-4.158113,0.902663,-1.663549,0.840314,-4.363776,0.805638,-1.654864,0.835252,-4.238761,1.000000,-1.991264,0.888026,-4.299583,0.843121,-1.945047,0.887891,-4.433653,0.713538,-1.745909,0.846151,-4.158113,-1.663549,0.840314,-4.363776,-1.654864,0.835252,-4.238761,-1.991264,0.888026,-4.299583,-1.945047,0.887891,-4.433653
4572,12.700000,0.003508,0.196335,0.066853,-0.978249,-1.800165,0.859067,-4.298651,0.000000,-1.664548,0.840943,-4.363341,0.887582,-1.745390,0.845191,-4.157037,0.779963,-1.653738,0.833932,-4.241907,0.843007,-1.939155,0.886922,-4.429998,0.902834,-1.997991,0.888345,-4.300974,0.718586,-1.664548,0.840943,-4.363341,-1.745390,0.845191,-4.157037,-1.653738,0.833932,-4.241907,-1.939155,0.886922,-4.429998,-1.997991,0.888345,-4.300974
4573,12.702778,0.004745,0.195938,0.066331,-0.978359,-1.800053,0.859334,-4.298588,0.000000,-1.664490,0.841119,-4.363365,0.919261,-1.745130,0.845853,-4.156992,0.897351,-1.653556,0.834426,-4.241924,0.904059,-1.939188,0.886776,-4.429868,0.899084,-1.997898,0.888498,-4.300790,0.783280,-1.664490,0.841119,-4.363365,-1.745130,0.845853,-4.156992,-1.653556,0.834426,-4.241924,-1.939188,0.886776,-4.429868,-1.997898,0.888498,-4.300790
4574,12.705556,-0.979605,0.092586,-0.178330,-0.000500,-1.800068,0.859518,-4.298765,0.000000,-1.745844,0.846227,-4.158094,0.873597,-1.663497,0.840238,-4.363759,0.788661,-1.654806,0.835258,-4.238741,0.876096,-1.991200,0.888049,-4.299578,0.878791,-1.944992,0.887817,-4.433651,0.717032,-1.745844,0.846227,-4.158094,-1.663497,0.840238,-4.363759,-1.654806,0.835258,-4.238741,-1.991200,0.888049,-4.299578,-1.944992,0.887817,-4.433651
4575,12.708333,0.004801,0.196050,0.066405,-0.978331,-1.799995,0.859385,-4.298621,0.000000,-1.664421,0.841141,-4.363366,0.894108,-1.745106,0.845908,-4.157012,0.828918,-1.653515,0.834457,-4.241922,0.858771,-1.939096,0.886838,-4.429935,0.886231,-1.997835,0.888582,-4.300870,0.746259,-1.664421,0.841141,-4.363366,-1.745106,0.845908,-4.157012,-1.653515,0.834457,-4.241922,-1.939096,0.886838,-4.429935,-1.997835,0.888582,-4.300870
4576,12.711111,0.003871,0.196772,0.066332,-0.978195,-1.800071,0.859164,-4.298787,0.000000,-1.664385,0.841096,-4.363348,0.788281,-1.745400,0.845474,-4.157114,0.803892,-1.653669,0.834212,-4.241898,0.824930,-1.938977,0.886770,-4.430275,0.859711,-1.997921,0.888267,-4.301301,0.731431,-1.664385,0.841096,-4.363348,-1.745400,0.845474,-4.157114,-1.653669,0.834212,-4.241898,-1.938977,0.886770,-4.430275,-1.997921,0.888267,-4.301301
4577,12.713889,-0.979631,0.092396,-0.178287,0.000260,-1.800213,0.859553,-4.298799,0.000000,-1.745987,0.846097,-4.158144,0.900120,-1.663626,0.840455,-4.363813,0.838206,-1.654938,0.835302,-4.238803,0.853320,-1.991363,0.887963,-4.299580,0.923796,-1.945149,0.887951,-4.433651,0.760357,-1.745987,0.846097,-4.158144,-1.663626,0.840455,-4.363813,-1.654938,0.835302,-4.238803,-1.991363,0.887963,-4.299580,-1.945149,0.887951,-4.433651
4578,12.716667,0.005336,0.196367,0.066531,-0.978256,-1.799940,0.859143,-4.298642,0.000000,-1.664337,0.840768,-4.363289,0.805385,-1.745140,0.845788,-4.156987,0.797070,-1.653505,0.834206,-4.241832,0.851538,-1.938953,0.886524,-4.430065,0.861984,-1.997765,0.888429,-4.301037,0.714090,-1.664337,0.840768,-4.363289,-1.745140,0.845788,-4.156987,-1.653505,0.834206,-4.241832,-1.938953,0.886524,-4.430065,-1.997765,0.888429,-4.301037
4579,12.719444,-0.979560,0.092475,-0.178638,0.000205,-1.800137,0.859554,-4.298918,0.000000,-1.746013,0.846107,-4.158224,0.884930,-1.663509,0.840420,-4.363834,0.840794,-1.654909,0.835284,-4.238816,0.850978,-1.991282,0.887999,-4.299838,0.920213,-1.944973,0.887959,-4.433876,0.777964,-1.746013,0.846107,-4.158224,-1.663509,0.840420,-4.363834,-1.654909,0.835284,-4.238816,-1.991282,0.887999,-4.299838,-1.944973,0.887959,-4.433876
4580,12.722222,-0.979537,0.092831,-0.178580,-0.000018,-1.800187,0.859380,-4.298727,0.000000,-1.746053,0.845933,-4.158036,0.856505,-1.663583,0.840120,-4.363657,0.767814,-1.654969,0.835014,-4.238639,0.842065,-1.991310,0.887973,-4.299627,0.892274,-1.945021,0.887858,-4.433672,0.727575,-1.746053,0.845933,-4.158036,-1.663583,0.840120,-4.363657,-1.654969,0.835014,-4.238639,-1.991310,0.887973,-4.299627,-1.945021,0.887858,-4.433672
4581,12.725000,-0.979653,0.092789,-0.177957,-0.000880,-1.800157,0.859771,-4.298680,0.000000,-1.745826,0.846536,-4.158046,0.871942,-1.663650,0.840380,-4.363774,0.814144,-1.654859,0.835471,-4.238760,0.788546,-1.991275,0.888402,-4.299354,1.000000,-1.945177,0.888065,-4.433465,0.719307,-1.745826,0.846536,-4.158045,-1.663650,0.840380,-4.363774,-1.654859,0.835471,-4.238760,-1.991275,0.888402,-4.299354,-1.945177,0.888065,-4.433465
4582,12.727778,-0.979723,0.092175,-0.177891,0.000910,-1.800164,0.859366,-4.298646,0.000000,-1.745832,0.845767,-4.158046,0.851948,-1.663610,0.840443,-4.363779,0.740346,-1.654831,0.835137,-4.238781,1.000000,-1.991334,0.887645,-4.299260,0.859177,-1.945212,0.887836,-4.433362,0.689738,-1.745832,0.845767,-4.158046,-1.663610,0.840443,-4.363779,-1.654831,0.835137,-4.238781,-1.991334,0.887645,-4.299260,-1.945212,0.887836,-4.433362
4583,12.730556,-0.979690,0.091523,-0.178410,-0.000614,-1.800278,0.859338,-4.298818,0.000000,-1.746042,0.846245,-4.158133,0.889228,-1.663661,0.840299,-4.363785,0.774442,-1.654972,0.835414,-4.238764,1.000000,-1.991468,0.887476,-4.299668,0.800633,-1.945246,0.887255,-4.433736,0.600776,-1.746042,0.846245,-4.158133,-1.663661,0.840299,-4.363785,-1.654972,0.835414,-4.238764,-1.991468,0.887476,-4.299668,-1.945246,0.887255,-4.433736
4584,12.733333,-0.979545,0.092298,-0.178809,0.000672,-1.800337,0.859178,-4.298970,0.000000,-1.746266,0.845643,-4.158264,0.860572,-1.663671,0.840167,-4.363843,0.682767,-1.655122,0.834933,-4.238826,1.000000,-1.991496,0.887526,-4.299948,0.838339,-1.945130,0.887620,-4.433967,0.616931,-1.746266,0.845643,-4.158264,-1.663671,0.840167,-4.363843,-1.655122,0.834933,-4.238826,-1.991496,0.887526,-4.299948,-1.945130,0.887620,-4.433967
4585,12.736111,-0.979623,0.093236,-0.177878,-0.002147,-1.800162,0.859414,-4.298763,0.000000,-1.745795,0.846432,-4.158119,0.840928,-1.663705,0.839691,-4.363863,0.736464,-1.654874,0.835059,-4.238842,0.809178,-1.991242,0.888299,-4.299431,1.000000,-1.945195,0.887590,-4.433558,0.608294,-1.745795,0.846432,-4.158119,-1.663705,0.839691,-4.363863,-1.654874,0.835059,-4.238842,-1.991242,0.888299,-4.299431,-1.945195,0.887590,-4.433558
4586,12.738889,0.005155,0.196373,0.066538,-0.978256,-1.800056,0.859158,-4.298545,0.000000,-1.664449,0.840814,-4.363194,0.785439,-1.745260,0.845756,-4.156893,0.756103,-1.653621,0.834209,-4.241739,0.818230,-1.939065,0.886577,-4.429963,0.841766,-1.997882,0.888433,-4.300936,0.729929,-1.664449,0.840814,-4.363194,-1.745260,0.845756,-4.156893,-1.653621,0.834209,-4.241739,-1.939065,0.886577,-4.429963,-1.997882,0.888433,-4.300936
4587,12.741667,0.003241,0.196694,0.066412,-0.978208,-1.800150,0.859210,-4.298732,0.000000,-1.664467,0.841237,-4.363325,0.913952,-1.745468,0.845345,-4.157080,0.863216,-1.653742,0.834200,-4.241885,0.921189,-1.939068,0.886971,-4.430175,0.770424,-1.998003,0.888298,-4.301195,0.759677,-1.664467,0.841237,-4.363325,-1.745468,0.845345,-4.157080,-1.653742,0.834200,-4.241885,-1.939068,0.886971,-4.430175,-1.998003,0.888298,-4.301195
4588,12.744444,0.004959,0.196098,0.067396,-0.978253,-1.800038,0.859123,-4.298584,0.000000,-1.664494,0.840610,-4.363316,0.799136,-1.745192,0.845525,-4.156970,0.839135,-1.653615,0.833896,-4.241871,0.948019,-1.939069,0.886865,-4.429912,0.832684,-1.997818,0.888718,-4.300854,1.000000,-1.664494,0.840610,-4.363316,-1.745192,0.845525,-4.156970,-1.653615,0.833896,-4.241871,-1.939069,0.886865,-4.429912,-1.997818,0.888718,-4.300854
4589,12.747222,0.004725,0.196430,0.066403,-0.978255,-1.800046,0.859340,-4.298710,0.000000,-1.664420,0.841105,-4.363350,0.876910,-1.745267,0.845851,-4.157059,0.868945,-1.653610,0.834410,-4.241899,0.895402,-1.939045,0.886801,-4.430130,0.812528,-1.997884,0.888532,-4.301112,0.688973,-1.664420,0.841105,-4.363350,-1.745267,0.845851,-4.157059,-1.653610,0.834410,-4.241899,-1.939045,0.886801,-4.430130,-1.997884,0.888532,-4.301112
4590,12.750000,0.003122,0.196873,0.066519,-0.978165,-1.800197,0.858930,-4.298784,0.000000,-1.664492,0.840950,-4.363330,0.802546,-1.745571,0.845020,-4.157115,0.765089,-1.653815,0.833880,-4.241888,0.837994,-1.939060,0.886747,-4.430273,0.856734,-1.998044,0.888051,-4.301316,0.686210,-1.664492,0.840950,-4.363330,-1.745571,0.845020,-4.157115,-1.653815,0.833880,-4.241888,-1.939060,0.886747,-4.430273,-1.998044,0.888051,-4.301316
4591,12.752778,0.002755,0.196812,0.066718,-0.978165,-1.800016,0.858841,-4.298753,0.000000,-1.664320,0.840880,-4.363323,0.802546,-1.745384,0.844804,-4.157099,0.765089,-1.653636,0.833710,-4.241887,0.837994,-1.938882,0.886798,-4.430210,0.856734,-1.997856,0.888013,-4.301248,0.686210,-1.664320,0.840880,-4.363323,-1.745384,0.844804,-4.157099,-1.653636,0.833710,-4.241887,-1.938882,0.886798,-4.430210,-1.997856,0.888013,-4.301248
4592,12.755556,0.004642,0.196429,0.067148,-0.978205,-1.800054,0.859184,-4.298573,0.000000,-1.664453,0.840785,-4.363217,0.736320,-1.745301,0.845552,-4.156927,0.867400,-1.653656,0.834019,-4.241768,0.876473,-1.939009,0.886905,-4.429986,0.851715,-1.997851,0.888660,-4.300969,0.726780,-1.664453,0.840785,-4.363217,-1.745301,0.845552,-4.156927,-1.653656,0.834019,-4.241768,-1.939009,0.886905,-4.429986,-1.997851,0.888660,-4.300969
4593,12.758333,0.004172,0.196495,0.066814,-0.978217,-1.799966,0.859215,-4.298695,0.000000,-1.664338,0.840980,-4.363328,0.662990,-1.745227,0.845519,-4.157049,0.665045,-1.653558,0.834129,-4.241882,1.000000,-1.938920,0.886921,-4.430111,0.750540,-1.997787,0.888527,-4.301104,0.553466,-1.664338,0.840980,-4.363328,-1.745227,0.845519,-4.157049,-1.653558,0.834129,-4.241882,-1.938920,0.886921,-4.430111,-1.997787,0.888527,-4.301104
4594,12.761111,0.005633,0.196245,0.066556,-0.978277,-1.799992,0.859328,-4.298516,0.000000,-1.664411,0.840895,-4.363192,0.813139,-1.745154,0.846042,-4.156870,0.820987,-1.653545,0.834398,-4.241735,1.000000,-1.939038,0.886658,-4.429915,0.865489,-1.997813,0.888645,-4.300870,0.625246,-1.664411,0.840895,-4.363192,-1.745154,0.846042,-4.156870,-1.653545,0.834398,-4.241735,-1.939038,0.886658,-4.429915,-1.997813,0.888645,-4.300870
4595,12.763889,0.003596,0.196728,0.066636,-0.978184,-1.800181,0.859106,-4.298608,0.000000,-1.664507,0.841015,-4.363186,0.705721,-1.745512,0.845296,-4.156946,0.654633,-1.653789,0.834045,-4.241741,0.817484,-1.939080,0.886867,-4.430072,0.768224,-1.998017,0.888307,-4.301095,0.638446,-1.664507,0.841015,-4.363186,-1.745512,0.845296,-4.156946,-1.653789,0.834045,-4.241741,-1.939080,0.886867,-4.430072,-1.998017,0.888307,-4.301095
4596,12.766667,0.002276,0.196593,0.066789,-0.978205,-1.800183,0.858928,-4.298723,0.000000,-1.664511,0.841038,-4.363362,0.787403,-1.745497,0.844753,-4.157104,0.688557,-1.653780,0.833748,-4.241938,0.848701,-1.939100,0.887008,-4.430099,0.797517,-1.998026,0.888092,-4.301113,0.676040,-1.664511,0.841038,-4.363362,-1.745497,0.844753,-4.157104,-1.653780,0.833748,-4.241938,-1.939100,0.887008,-4.430099,-1.998026,0.888092,-4.301113
4597,12.769444,0.005528,0.196284,0.066902,-0.978247,-1.800038,0.859192,-4.298596,0.000000,-1.664461,0.840694,-4.363264,0.896836,-1.745223,0.845823,-4.156948,0.798501,-1.653613,0.834149,-4.241807,0.882526,-1.939052,0.886655,-4.430000,0.846672,-1.997839,0.888636,-4.300961,0.706493,-1.664461,0.840694,-4.363264,-1.745223,0.845823,-4.156948,-1.653613,0.834149,-4.241807,-1.939052,0.886655,-4.430000,-1.997839,0.888636,-4.300961
4598,12.772222,0.001918,0.196644,0.066639,-0.978206,-1.800206,0.859123,-4.298654,0.000000,-1.664517,0.841334,-4.363284,0.816678,-1.745534,0.844882,-4.157035,0.890453,-1.653800,0.833971,-4.241862,0.899006,-1.939116,0.887226,-4.430032,0.820941,-1.998061,0.888202,-4.301054,0.719718,-1.664517,0.841334,-4.363284,-1.745534,0.844882,-4.157035,-1.653800,0.833971,-4.241862,-1.939116,0.887226,-4.430032,-1.998061,0.888202,-4.301054
4599,12.775000,0.005425,0.196386,0.066471,-0.978256,-1.800027,0.859497,-4.298563,0.000000,-1.664420,0.841121,-4.363203,0.879480,-1.745229,0.846175,-4.156904,0.791887,-1.653591,0.834584,-4.241744,0.871818,-1.939038,0.886840,-4.429995,0.863932,-1.997854,0.888767,-4.300968,0.693420,-1.664420,0.841121,-4.363203,-1.745229,0.846175,-4.156904,-1.653591,0.834584,-4.241744,-1.939038,0.886840,-4.429995,-1.997854,0.888767,-4.300968
4600,12.777778,0.005020,0.196395,0.066127,-0.978280,-1.800005,0.859394,-4.298484,0.000000,-1.664379,0.841173,-4.363128,0.927781,-1.745204,0.846024,-4.156831,0.829319,-1.653552,0.834565,-4.241673,0.886677,-1.939031,0.886707,-4.429906,0.889935,-1.997856,0.888500,-4.300882,0.783815,-1.664379,0.841173,-4.363128,-1.745204,0.846024,-4.156831,-1.653552,0.834565,-4.241673,-1.939031,0.886707,-4.429906,-1.997856,0.888500,-4.300882
4601,12.780556,0.005268,0.196153,0.066306,-0.978315,-1.799977,0.859384,-4.298466,0.000000,-1.664394,0.841078,-4.363173,0.895379,-1.745109,0.846044,-4.156836,0.852556,-1.653506,0.834512,-4.241721,0.903023,-1.939060,0.886708,-4.429826,0.847697,-1.997817,0.888576,-4.300772,0.720893,-1.664394,0.841078,-4.363173,-1.745109,0.846044,-4.156836,-1.653506,0.834512,-4.241721,-1.939060,0.886708,-4.429826,-1.997817,0.888576,-4.300772
