Format Version,1.22,Take Name,Kiryu's radar 3 turning,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.42.05.168 AM,Total Frames in Take,6671,Total Exported Frames,6671,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.072222,0.001210,0.193953,0.065886,-0.978795,-4.399641,0.953618,2.247105,0.000000,-4.264271,0.936170,2.181717,0.927944,-4.344178,0.939272,2.388405,0.932606,-4.252885,0.928651,2.303068,0.910617,-4.539310,0.981658,2.116520,0.891847,-4.597558,0.982340,2.245816,0.921340,-4.264271,0.936170,2.181717,-4.344178,0.939272,2.388405,-4.252885,0.928651,2.303068,-4.539310,0.981658,2.116520,-4.597558,0.982340,2.245816
27,0.075000,0.000821,0.193891,0.064946,-0.978871,-4.399525,0.953870,2.247200,0.000000,-4.264127,0.936719,2.181791,0.928027,-4.344019,0.939578,2.388488,0.933728,-4.252714,0.929174,2.303138,0.914136,-4.539263,0.981683,2.116640,0.896493,-4.597499,0.982197,2.245942,0.926062,-4.264127,0.936719,2.181791,-4.344019,0.939578,2.388488,-4.252714,0.929174,2.303138,-4.539263,0.981683,2.116640,-4.597499,0.982197,2.245942
28,0.077778,0.001007,0.193779,0.065044,-0.978886,-4.399388,0.953934,2.247294,0.000000,-4.264011,0.936727,2.181857,0.940165,-4.343852,0.939671,2.388573,0.902989,-4.252570,0.929217,2.303203,0.964469,-4.539152,0.981743,2.116761,0.894335,-4.597356,0.982312,2.246077,0.890514,-4.264011,0.936727,2.181857,-4.343852,0.939671,2.388573,-4.252570,0.929217,2.303203,-4.539152,0.981743,2.116761,-4.597356,0.982312,2.246077
29,0.080556,0.001523,0.193748,0.065633,-0.978852,-4.399438,0.953817,2.247230,0.000000,-4.264092,0.936375,2.181791,0.934237,-4.343905,0.939588,2.388514,0.888285,-4.252647,0.928944,2.303141,0.963711,-4.539179,0.981714,2.116691,0.884399,-4.597368,0.982462,2.246013,0.904045,-4.264092,0.936375,2.181791,-4.343905,0.939588,2.388514,-4.252647,0.928944,2.303141,-4.539179,0.981714,2.116691,-4.597368,0.982462,2.246013
30,0.083333,0.000595,0.193950,0.065313,-0.978835,-4.399386,0.953939,2.247285,0.000000,-4.263988,0.936740,2.181888,0.889840,-4.343912,0.939530,2.388574,0.842167,-4.252599,0.929117,2.303232,0.920258,-4.539086,0.981916,2.116719,0.893746,-4.597342,0.982392,2.246012,0.779360,-4.263988,0.936740,2.181888,-4.343912,0.939530,2.388574,-4.252599,0.929117,2.303232,-4.539086,0.981916,2.116719,-4.597342,0.982392,2.246012
31,0.086111,0.000228,0.194001,0.065188,-0.978833,-4.399477,0.953868,2.247284,0.000000,-4.264063,0.936764,2.181896,0.932477,-4.344018,0.939387,2.388572,0.891542,-4.252689,0.929066,2.303236,0.971464,-4.539168,0.981878,2.116716,0.891649,-4.597445,0.982245,2.246001,0.884819,-4.264063,0.936764,2.181896,-4.344018,0.939387,2.388572,-4.252689,0.929066,2.303236,-4.539168,0.981878,2.116716,-4.597445,0.982245,2.246001
32,0.088889,0.000855,0.193754,0.065226,-0.978879,-4.399392,0.953970,2.247386,0.000000,-4.264021,0.936747,2.181938,0.932335,-4.343855,0.939638,2.388658,0.880517,-4.252579,0.929189,2.303281,0.960209,-4.539150,0.981870,2.116866,0.883237,-4.597351,0.982408,2.246184,0.909155,-4.264021,0.936747,2.181938,-4.343855,0.939638,2.388658,-4.252579,0.929189,2.303281,-4.539150,0.981870,2.116866,-4.597351,0.982408,2.246184
33,0.091667,0.000902,0.193962,0.064735,-0.978870,-4.399402,0.954069,2.247409,0.000000,-4.263989,0.936953,2.182022,0.931809,-4.343909,0.939833,2.388708,0.902755,-4.252589,0.929443,2.303372,0.954671,-4.539135,0.981796,2.116824,0.888156,-4.597388,0.982319,2.246119,0.887894,-4.263989,0.936953,2.182022,-4.343909,0.939833,2.388708,-4.252589,0.929443,2.303372,-4.539135,0.981796,2.116824,-4.597388,0.982319,2.246119
34,0.094444,0.000658,0.193743,0.066198,-0.978816,-4.399510,0.953774,2.247219,0.000000,-4.264170,0.936353,2.181762,0.931808,-4.344005,0.939233,2.388482,0.881941,-4.252745,0.928681,2.303100,0.964013,-4.539213,0.982029,2.116717,0.887136,-4.597417,0.982576,2.246033,0.901121,-4.264170,0.936353,2.181762,-4.344005,0.939233,2.388482,-4.252745,0.928681,2.303100,-4.539213,0.982029,2.116717,-4.597417,0.982576,2.246033
35,0.097222,0.000303,0.193783,0.064872,-0.978897,-4.399429,0.953912,2.247355,0.000000,-4.264036,0.936874,2.181908,0.890781,-4.343897,0.939498,2.388620,0.841487,-4.252601,0.929212,2.303245,0.918052,-4.539197,0.981807,2.116844,0.892688,-4.597414,0.982171,2.246156,0.778725,-4.264036,0.936874,2.181908,-4.343897,0.939498,2.388620,-4.252601,0.929212,2.303245,-4.539197,0.981807,2.116844,-4.597414,0.982171,2.246156
36,0.100000,0.000796,0.193951,0.064862,-0.978864,-4.399469,0.954030,2.247413,0.000000,-4.264060,0.936903,2.182020,0.889347,-4.343979,0.939746,2.388708,0.860021,-4.252661,0.929359,2.303368,0.911331,-4.539196,0.981820,2.116836,0.896102,-4.597449,0.982322,2.246131,0.770524,-4.264060,0.936903,2.182020,-4.343979,0.939746,2.388708,-4.252661,0.929359,2.303368,-4.539196,0.981820,2.116836,-4.597449,0.982322,2.246131
37,0.102778,0.001176,0.193634,0.065406,-0.978890,-4.399447,0.954002,2.247381,0.000000,-4.264103,0.936679,2.181905,0.938094,-4.343878,0.939720,2.388645,0.899715,-4.252630,0.929181,2.303249,0.964339,-4.539229,0.981896,2.116885,0.892016,-4.597393,0.982532,2.246220,0.887761,-4.264103,0.936679,2.181905,-4.343878,0.939720,2.388645,-4.252630,0.929181,2.303249,-4.539229,0.981896,2.116885,-4.597393,0.982532,2.246220
38,0.105556,0.000842,0.193929,0.064710,-0.978879,-4.399441,0.954054,2.247386,0.000000,-4.264030,0.936956,2.181988,0.927691,-4.343938,0.939806,2.388680,0.895952,-4.252622,0.929433,2.303337,0.959269,-4.539183,0.981785,2.116813,0.886642,-4.597428,0.982290,2.246111,0.885493,-4.264030,0.936956,2.181988,-4.343938,0.939806,2.388680,-4.252622,0.929433,2.303337,-4.539183,0.981785,2.116813,-4.597428,0.982290,2.246111
39,0.108333,0.000229,0.194103,0.065126,-0.978817,-4.399569,0.953848,2.247337,0.000000,-4.264139,0.936759,2.181976,0.957054,-4.344138,0.939379,2.388636,0.911914,-4.252789,0.929066,2.303320,0.938189,-4.539236,0.981836,2.116739,0.927084,-4.597539,0.982202,2.246011,0.921663,-4.264139,0.936759,2.181976,-4.344138,0.939379,2.388636,-4.252789,0.929066,2.303320,-4.539236,0.981836,2.116739,-4.597539,0.982202,2.246011
40,0.111111,0.000654,0.193864,0.065027,-0.978871,-4.399459,0.953953,2.247405,0.000000,-4.264065,0.936813,2.181985,0.935948,-4.343951,0.939604,2.388686,0.894509,-4.252649,0.929223,2.303329,0.971388,-4.539199,0.981826,2.116859,0.893005,-4.597432,0.982298,2.246164,0.886793,-4.264065,0.936813,2.181985,-4.343951,0.939604,2.388686,-4.252649,0.929223,2.303329,-4.539199,0.981826,2.116859,-4.597432,0.982298,2.246164
