Format Version,1.22,Take Name,Kiryu's radar 2 across and back fast,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.38.18.323 AM,Total Frames in Take,7368,Total Exported Frames,7368,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.072222,0.008807,-0.005124,0.040365,-0.999133,-3.760644,0.926925,2.428787,0.000000,-3.660899,0.915520,2.315536,0.861145,-3.653781,0.916464,2.537039,0.852730,-3.602675,0.909573,2.422713,0.894084,-3.941392,0.947068,2.363437,0.927270,-3.944474,0.946001,2.505212,0.742601,-3.660899,0.915520,2.315536,-3.653781,0.916464,2.537039,-3.602675,0.909573,2.422713,-3.941392,0.947068,2.363437,-3.944474,0.946001,2.505212,,,
27,0.075000,0.009166,-0.005330,0.040423,-0.999126,-3.760693,0.926983,2.428823,0.000000,-3.660998,0.915487,2.315536,0.856943,-3.653783,0.916585,2.537035,0.841745,-3.602727,0.909609,2.422691,0.902776,-3.941467,0.947101,2.363538,0.918030,-3.944487,0.946133,2.505315,0.760560,-3.660998,0.915487,2.315536,-3.653783,0.916585,2.537035,-3.602727,0.909609,2.422691,-3.941467,0.947101,2.363538,-3.944487,0.946133,2.505315,,,
28,0.077778,0.009287,-0.005280,0.040195,-0.999135,-3.760658,0.926872,2.428837,0.000000,-3.660949,0.915393,2.315562,0.857663,-3.653753,0.916549,2.537060,0.841004,-3.602685,0.909568,2.422723,0.904072,-3.941436,0.946891,2.363532,0.918316,-3.944468,0.945956,2.505309,0.760501,-3.660949,0.915393,2.315562,-3.653753,0.916549,2.537060,-3.602685,0.909568,2.422723,-3.941436,0.946891,2.363532,-3.944468,0.945956,2.505309,,,
29,0.080556,0.008895,-0.005241,0.040550,-0.999124,-3.760591,0.926956,2.428804,0.000000,-3.660877,0.915494,2.315531,0.855549,-3.653706,0.916473,2.537031,0.816097,-3.602629,0.909545,2.422694,1.000000,-3.941347,0.947155,2.363493,0.917030,-3.944396,0.946113,2.505269,0.754506,-3.660877,0.915494,2.315531,-3.653706,0.916473,2.537031,-3.602629,0.909545,2.422694,-3.941347,0.947155,2.363493,-3.944396,0.946113,2.505269,,,
30,0.083333,0.008742,-0.004996,0.040471,-0.999130,-3.760674,0.926891,2.428839,0.000000,-3.660901,0.915478,2.315612,0.856062,-3.653841,0.916394,2.537117,0.842901,-3.602706,0.909507,2.422803,0.904116,-3.941400,0.947079,2.363444,0.920438,-3.944520,0.945996,2.505218,0.771013,-3.660901,0.915478,2.315612,-3.653841,0.916394,2.537117,-3.602706,0.909507,2.422803,-3.941400,0.947079,2.363444,-3.944520,0.945996,2.505218,,,
31,0.086111,0.008954,-0.005040,0.040592,-0.999123,-3.760847,0.926807,2.428858,0.000000,-3.661089,0.915323,2.315626,0.859547,-3.654005,0.916330,2.537129,0.845865,-3.602884,0.909382,2.422814,0.906301,-3.941575,0.947012,2.363473,0.918591,-3.944680,0.945989,2.505248,0.769029,-3.661089,0.915323,2.315626,-3.654005,0.916330,2.537129,-3.602884,0.909382,2.422814,-3.941575,0.947012,2.363473,-3.944680,0.945989,2.505248,,,
32,0.088889,0.008948,-0.005058,0.040523,-0.999126,-3.760816,0.926842,2.428869,0.000000,-3.661061,0.915373,2.315633,0.862470,-3.653969,0.916378,2.537136,0.853593,-3.602851,0.909439,2.422818,0.909026,-3.941550,0.947023,2.363490,0.928347,-3.944649,0.945997,2.505265,0.769826,-3.661061,0.915373,2.315633,-3.653969,0.916378,2.537136,-3.602851,0.909439,2.422818,-3.941550,0.947023,2.363490,-3.944649,0.945997,2.505265,,,
33,0.091667,0.008992,-0.005112,0.040286,-0.999135,-3.760717,0.926878,2.428847,0.000000,-3.660969,0.915447,2.315601,0.850452,-3.653853,0.916474,2.537103,0.835780,-3.602745,0.909549,2.422780,0.898715,-3.941468,0.946967,2.363488,0.920988,-3.944551,0.945952,2.505264,0.753952,-3.660969,0.915447,2.315601,-3.653853,0.916474,2.537103,-3.602745,0.909549,2.422780,-3.941468,0.946967,2.363488,-3.944551,0.945952,2.505264,,,
34,0.094444,0.008876,-0.005206,0.040285,-0.999135,-3.760643,0.926859,2.428933,0.000000,-3.660915,0.915454,2.315666,0.862522,-3.653760,0.916428,2.537167,0.856732,-3.602672,0.909531,2.422834,0.895331,-3.941406,0.946964,2.363611,0.925530,-3.944463,0.945915,2.505387,0.765459,-3.660915,0.915454,2.315666,-3.653760,0.916428,2.537167,-3.602672,0.909531,2.422834,-3.941406,0.946964,2.363611,-3.944463,0.945915,2.505387,,,
35,0.097222,0.009156,-0.005306,0.040520,-0.999123,-3.760640,0.926928,2.428839,0.000000,-3.660943,0.915415,2.315557,0.856342,-3.653738,0.916508,2.537056,0.846416,-3.602678,0.909524,2.422715,0.897135,-3.941407,0.947082,2.363546,0.925426,-3.944435,0.946113,2.505323,0.758443,-3.660943,0.915415,2.315557,-3.653738,0.916508,2.537056,-3.602678,0.909524,2.422715,-3.941407,0.947082,2.363546,-3.944435,0.946113,2.505323,,,
