Format Version,1.22,Take Name,Kiryu's radar 2 across and back fast,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.38.18.323 AM,Total Frames in Take,7368,Total Exported Frames,7368,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
5081,14.113889,-0.006383,0.069757,-0.035893,0.996898,-3.721572,0.911220,-1.662823,0.000000,-3.637171,0.901718,-1.788088,0.888357,-3.601584,0.900604,-1.569348,0.878579,-3.565585,0.895227,-1.689369,0.881946,-3.909368,0.930499,-1.704143,0.955472,-3.894153,0.928051,-1.563170,0.743002,-3.637171,0.901718,-1.788088,-3.601584,0.900604,-1.569348,-3.565585,0.895227,-1.689369,-3.909368,0.930499,-1.704143,-3.894153,0.928051,-1.563170,,,
5082,14.116667,-0.007785,0.069860,-0.035417,0.996898,-3.721411,0.910861,-1.659608,0.000000,-3.637038,0.901115,-1.784873,0.877253,-3.601381,0.900636,-1.566142,0.865062,-3.565413,0.894974,-1.686158,0.880010,-3.909241,0.929812,-1.700920,0.932376,-3.893979,0.927766,-1.559946,0.713218,-3.637038,0.901115,-1.784873,-3.601381,0.900636,-1.566142,-3.565413,0.894974,-1.686158,-3.909241,0.929812,-1.700920,-3.893979,0.927766,-1.559946,,,
5083,14.119444,-0.006382,0.071069,-0.035880,0.996805,-3.721346,0.911266,-1.655695,0.000000,-3.637274,0.901777,-1.781182,0.862046,-3.601112,0.900641,-1.562536,0.859580,-3.565429,0.895276,-1.682652,0.886986,-3.909250,0.930548,-1.696518,0.946784,-3.893663,0.928087,-1.555586,0.744721,-3.637274,0.901777,-1.781182,-3.601112,0.900641,-1.562536,-3.565429,0.895276,-1.682652,-3.909250,0.930548,-1.696518,-3.893663,0.928087,-1.555586,,,
5084,14.122222,-0.006694,0.070137,-0.036527,0.996846,-3.721187,0.911159,-1.652435,0.000000,-3.636896,0.901468,-1.777759,0.891275,-3.601139,0.900459,-1.559046,0.877528,-3.565241,0.894956,-1.679091,0.882273,-3.908991,0.930640,-1.693621,0.958920,-3.893669,0.928270,-1.552658,0.755544,-3.636896,0.901468,-1.777759,-3.601139,0.900459,-1.559046,-3.565241,0.894956,-1.679091,-3.908991,0.930640,-1.693621,-3.893669,0.928270,-1.552658,,,
5085,14.125000,-0.006822,0.070280,-0.037252,0.996808,-3.721043,0.910839,-1.648872,0.000000,-3.636801,0.900984,-1.774217,0.912445,-3.600983,0.900000,-1.555514,0.890466,-3.565127,0.894404,-1.675568,0.887772,-3.908831,0.930575,-1.690010,0.943188,-3.893471,0.928232,-1.549051,0.773662,-3.636801,0.900984,-1.774217,-3.600983,0.900000,-1.555514,-3.565127,0.894404,-1.675568,-3.908831,0.930575,-1.690010,-3.893471,0.928232,-1.549051,,,
5086,14.127778,0.994111,-0.060543,-0.089104,0.011795,-3.720924,0.910971,-1.645266,0.000000,-3.601650,0.901252,-1.552615,0.912445,-3.636129,0.900303,-1.771533,0.890466,-3.564351,0.895989,-1.668776,0.887772,-3.886704,0.927368,-1.547315,0.943188,-3.915787,0.929941,-1.686090,0.773662,-3.601650,0.901252,-1.552615,-3.636129,0.900303,-1.771533,-3.564351,0.895989,-1.668776,-3.886704,0.927368,-1.547315,-3.915787,0.929941,-1.686090,,,
5087,14.130556,-0.007670,0.070211,-0.037439,0.996800,-3.720644,0.910894,-1.641833,0.000000,-3.636396,0.900802,-1.767155,0.830823,-3.600595,0.900185,-1.548448,0.867488,-3.564731,0.894374,-1.668489,0.855642,-3.908424,0.930607,-1.683020,0.948153,-3.893076,0.928503,-1.542056,0.725516,-3.636396,0.900802,-1.767155,-3.600595,0.900185,-1.548448,-3.564731,0.894374,-1.668489,-3.908424,0.930607,-1.683020,-3.893076,0.928503,-1.542056,,,
5088,14.133333,-0.006578,0.070826,-0.037593,0.996758,-3.720755,0.911422,-1.638253,0.000000,-3.636656,0.901566,-1.763693,0.894831,-3.600603,0.900451,-1.545029,0.868543,-3.564880,0.894886,-1.665123,0.894869,-3.908573,0.931314,-1.679180,0.915270,-3.893063,0.928892,-1.538239,0.774187,-3.636656,0.901566,-1.763693,-3.600603,0.900451,-1.545029,-3.564880,0.894886,-1.665123,-3.908573,0.931314,-1.679180,-3.893063,0.928892,-1.538239,,,
5089,14.136111,-0.006493,0.071088,-0.036462,0.996782,-3.720412,0.911225,-1.634506,0.000000,-3.636357,0.901601,-1.759994,0.885450,-3.600187,0.900491,-1.541350,0.849407,-3.564515,0.895048,-1.661465,0.883138,-3.908296,0.930710,-1.675328,0.937971,-3.892706,0.928274,-1.534395,0.710312,-3.636357,0.901601,-1.759994,-3.600187,0.900491,-1.541350,-3.564515,0.895048,-1.661465,-3.908296,0.930710,-1.675328,-3.892706,0.928274,-1.534395,,,
5090,14.138889,0.994102,-0.061057,-0.088967,0.010825,-3.720326,0.911677,-1.631450,0.000000,-3.601100,0.901648,-1.538769,0.856134,-3.635493,0.901138,-1.757702,0.825841,-3.563761,0.896551,-1.654925,0.854753,-3.886126,0.928093,-1.533535,0.937540,-3.915150,0.930954,-1.672316,0.707898,-3.601100,0.901648,-1.538769,-3.635493,0.901138,-1.757702,-3.563761,0.896551,-1.654925,-3.886126,0.928093,-1.533535,-3.915150,0.930954,-1.672316,,,
5091,14.141667,-0.007967,0.070930,-0.036922,0.996766,-3.720304,0.911319,-1.627814,0.000000,-3.636229,0.901258,-1.753255,0.882684,-3.600105,0.900781,-1.534600,0.844145,-3.564412,0.894951,-1.654691,0.858552,-3.908165,0.930814,-1.668734,0.953222,-3.892606,0.928792,-1.527792,0.718169,-3.636229,0.901258,-1.753255,-3.600105,0.900781,-1.534600,-3.564412,0.894951,-1.654691,-3.908165,0.930814,-1.668734,-3.892606,0.928792,-1.527792,,,
5092,14.144444,0.994098,-0.060809,-0.089189,0.010813,-3.720083,0.911206,-1.624186,0.000000,-3.600811,0.901226,-1.531560,0.908538,-3.635301,0.900720,-1.750478,0.862135,-3.563521,0.896158,-1.647732,0.886828,-3.885847,0.927533,-1.526196,0.953455,-3.914934,0.930392,-1.664964,0.764745,-3.600811,0.901226,-1.531560,-3.635301,0.900720,-1.750478,-3.563521,0.896158,-1.647732,-3.885847,0.927533,-1.526196,-3.914934,0.930392,-1.664964,,,
5093,14.147222,-0.007089,0.071292,-0.036552,0.996760,-3.720093,0.911738,-1.621044,0.000000,-3.636095,0.901958,-1.746559,0.877581,-3.599826,0.901103,-1.527929,0.847513,-3.564209,0.895514,-1.648054,0.855388,-3.907992,0.931194,-1.661804,0.967814,-3.892340,0.928923,-1.520876,0.732481,-3.636095,0.901958,-1.746559,-3.599826,0.901103,-1.527929,-3.564209,0.895514,-1.648054,-3.907992,0.931194,-1.661804,-3.892340,0.928923,-1.520876,,,
5094,14.150000,0.994044,-0.062213,-0.089024,0.008968,-3.719893,0.911137,-1.617012,0.000000,-3.600706,0.900470,-1.524352,0.893654,-3.635071,0.900815,-1.743290,0.855478,-3.563365,0.895681,-1.640520,0.916169,-3.885662,0.927650,-1.519061,0.922563,-3.914660,0.931071,-1.657835,0.768783,-3.600706,0.900470,-1.524352,-3.635071,0.900815,-1.743290,-3.563365,0.895681,-1.640520,-3.885662,0.927650,-1.519062,-3.914660,0.931071,-1.657835,,,
5095,14.152778,0.994037,-0.061517,-0.089425,0.010413,-3.719680,0.911035,-1.613704,0.000000,-3.600385,0.900813,-1.521134,0.876965,-3.634966,0.900511,-1.740038,0.873382,-3.563151,0.895770,-1.637325,0.873840,-3.885379,0.927541,-1.515633,0.966564,-3.914520,0.930541,-1.654387,0.749918,-3.600385,0.900813,-1.521134,-3.634966,0.900511,-1.740038,-3.563151,0.895770,-1.637325,-3.885379,0.927541,-1.515633,-3.914520,0.930541,-1.654387,,,
5096,14.155556,-0.006101,0.071145,-0.037466,0.996744,-3.719798,0.911644,-1.610518,0.000000,-3.635773,0.901928,-1.736018,0.894357,-3.599588,0.900602,-1.517378,0.849455,-3.563937,0.895163,-1.637499,0.846629,-3.907644,0.931542,-1.651312,0.970408,-3.892049,0.928983,-1.510383,0.728173,-3.635773,0.901928,-1.736018,-3.599588,0.900602,-1.517378,-3.563937,0.895163,-1.637499,-3.907644,0.931542,-1.651312,-3.892049,0.928983,-1.510383,,,
5097,14.158333,-0.009332,0.071095,-0.036667,0.996752,-3.719512,0.910730,-1.606824,0.000000,-3.635484,0.900392,-1.732273,0.877248,-3.599265,0.900525,-1.513635,0.853105,-3.563620,0.894399,-1.633725,0.890403,-3.907404,0.929984,-1.647714,0.940525,-3.891783,0.928350,-1.506773,0.711230,-3.635484,0.900392,-1.732273,-3.599265,0.900525,-1.513635,-3.563620,0.894399,-1.633725,-3.907404,0.929984,-1.647714,-3.891783,0.928350,-1.506773,,,
5098,14.161111,-0.008090,0.071704,-0.036278,0.996733,-3.719325,0.911243,-1.603278,0.000000,-3.635434,0.901278,-1.728849,0.901081,-3.598967,0.900869,-1.510252,0.853770,-3.563454,0.895073,-1.630397,0.876643,-3.907274,0.930492,-1.643905,0.938813,-3.891493,0.928504,-1.502988,0.756821,-3.635434,0.901278,-1.728849,-3.598967,0.900869,-1.510252,-3.563454,0.895073,-1.630397,-3.907274,0.930492,-1.643905,-3.891493,0.928504,-1.502988,,,
5099,14.163889,-0.004572,0.071282,-0.037132,0.996754,-3.719313,0.911307,-1.600128,0.000000,-3.635303,0.902019,-1.725672,0.852559,-3.599083,0.900030,-1.507042,0.864510,-3.563449,0.894980,-1.627185,0.856678,-3.907175,0.931249,-1.640830,0.895352,-3.891556,0.928259,-1.499912,0.746202,-3.635303,0.902019,-1.725672,-3.599083,0.900030,-1.507042,-3.563449,0.894980,-1.627185,-3.907175,0.931249,-1.640830,-3.891556,0.928259,-1.499912,,,
5100,14.166667,-0.006381,0.070381,-0.034744,0.996895,-3.718946,0.911239,-1.596479,0.000000,-3.634681,0.901956,-1.721852,0.870540,-3.598816,0.900878,-1.503157,0.864059,-3.562956,0.895608,-1.623224,0.891123,-3.906837,0.930098,-1.637558,0.940716,-3.891438,0.927656,-1.496605,0.732085,-3.634681,0.901956,-1.721852,-3.598816,0.900878,-1.503157,-3.562956,0.895608,-1.623224,-3.906837,0.930098,-1.637558,-3.891438,0.927656,-1.496605,,,
5101,14.169444,-0.007521,0.070896,-0.037157,0.996763,-3.718956,0.911207,-1.593012,0.000000,-3.634873,0.901208,-1.718452,0.890715,-3.598773,0.900525,-1.499794,0.866454,-3.563070,0.894779,-1.619886,0.872257,-3.906802,0.930836,-1.633935,0.935003,-3.891260,0.928686,-1.492993,0.732014,-3.634873,0.901208,-1.718452,-3.598773,0.900525,-1.499794,-3.563070,0.894779,-1.619886,-3.906802,0.930836,-1.633935,-3.891260,0.928686,-1.492993,,,
5102,14.172222,0.994039,-0.061458,-0.089405,0.010782,-3.718764,0.910919,-1.589548,0.000000,-3.599466,0.900786,-1.496971,0.862145,-3.634049,0.900318,-1.715875,0.796538,-3.562232,0.895666,-1.613159,0.875965,-3.884465,0.927465,-1.491488,0.921558,-3.913608,0.930359,-1.630244,0.713111,-3.599466,0.900786,-1.496971,-3.634049,0.900318,-1.715875,-3.562232,0.895666,-1.613159,-3.884465,0.927465,-1.491488,-3.913608,0.930359,-1.630244,,,
5103,14.175000,-0.007144,0.071462,-0.036336,0.996756,-3.718719,0.911092,-1.586028,0.000000,-3.634761,0.901340,-1.711571,0.848742,-3.598416,0.900515,-1.492955,0.864802,-3.562838,0.894934,-1.613091,0.879632,-3.906641,0.930463,-1.626724,0.942562,-3.890939,0.928209,-1.485802,0.717698,-3.634761,0.901340,-1.711571,-3.598416,0.900515,-1.492955,-3.562838,0.894934,-1.613091,-3.906642,0.930463,-1.626724,-3.890939,0.928209,-1.485802,,,
5104,14.177778,-0.007865,0.071936,-0.036879,0.996696,-3.718565,0.911465,-1.582519,0.000000,-3.634741,0.901443,-1.708130,0.853983,-3.598179,0.900906,-1.489549,0.855393,-3.562726,0.895112,-1.609713,0.889760,-3.906508,0.930962,-1.623056,0.923225,-3.890667,0.928900,-1.482146,0.775357,-3.634741,0.901443,-1.708130,-3.598179,0.900906,-1.489549,-3.562726,0.895112,-1.609713,-3.906508,0.930962,-1.623056,-3.890667,0.928900,-1.482146,,,
5105,14.180556,-0.006737,0.070734,-0.037040,0.996785,-3.718410,0.910635,-1.578709,0.000000,-3.634278,0.900844,-1.704133,0.868610,-3.598261,0.899822,-1.485463,0.826835,-3.562512,0.894269,-1.605550,0.872084,-3.906243,0.930305,-1.619674,0.930292,-3.890755,0.927936,-1.478729,0.724708,-3.634278,0.900844,-1.704133,-3.598261,0.899822,-1.485463,-3.562512,0.894269,-1.605550,-3.906243,0.930305,-1.619674,-3.890755,0.927936,-1.478729,,,
5106,14.183333,-0.007747,0.071196,-0.037032,0.996745,-3.718268,0.911381,-1.575235,0.000000,-3.634261,0.901353,-1.700724,0.883970,-3.598025,0.900771,-1.482088,0.893771,-3.562395,0.894985,-1.602200,0.893408,-3.906145,0.930942,-1.616050,0.952851,-3.890515,0.928853,-1.475117,0.765453,-3.634261,0.901353,-1.700724,-3.598025,0.900771,-1.482088,-3.562395,0.894985,-1.602200,-3.906145,0.930942,-1.616050,-3.890515,0.928853,-1.475117,,,
5107,14.186111,-0.007443,0.072061,-0.034676,0.996770,-3.718166,0.911250,-1.572182,0.000000,-3.634331,0.901739,-1.697825,0.863733,-3.597712,0.901105,-1.479254,0.867199,-3.562265,0.895605,-1.599433,0.872456,-3.906202,0.929979,-1.612651,0.943453,-3.890318,0.927822,-1.471747,0.761476,-3.634331,0.901739,-1.697825,-3.597712,0.901105,-1.479254,-3.562265,0.895605,-1.599433,-3.906202,0.929979,-1.612651,-3.890318,0.927822,-1.471747,,,
5108,14.188889,-0.010151,0.070658,-0.036396,0.996785,-3.717942,0.911103,-1.568315,0.000000,-3.633806,0.900617,-1.693679,0.912600,-3.597764,0.901130,-1.475012,0.834981,-3.562018,0.894832,-1.595063,0.891715,-3.905813,0.930166,-1.609388,0.947713,-3.890306,0.928770,-1.468433,0.747109,-3.633806,0.900617,-1.693679,-3.597764,0.901130,-1.475012,-3.562018,0.894832,-1.595063,-3.905813,0.930166,-1.609388,-3.890306,0.928770,-1.468433,,,
5109,14.191667,-0.006631,0.071863,-0.036613,0.996720,-3.717885,0.911167,-1.564875,0.000000,-3.634029,0.901488,-1.690492,0.893001,-3.597518,0.900419,-1.471904,0.867500,-3.562035,0.894938,-1.592073,0.874211,-3.905827,0.930698,-1.605408,0.955618,-3.890018,0.928291,-1.464499,0.716395,-3.634029,0.901488,-1.690492,-3.597518,0.900419,-1.471904,-3.562035,0.894938,-1.592073,-3.905827,0.930698,-1.605408,-3.890018,0.928291,-1.464499,,,
5110,14.194444,-0.010174,0.072259,-0.036052,0.996682,-3.717664,0.911121,-1.561437,0.000000,-3.633925,0.900704,-1.687073,0.874585,-3.597181,0.901215,-1.468522,0.805116,-3.561816,0.894955,-1.588688,0.892900,-3.905679,0.930066,-1.601904,0.935623,-3.889718,0.928664,-1.461000,0.724954,-3.633925,0.900704,-1.687073,-3.597181,0.901215,-1.468522,-3.561816,0.894955,-1.588688,-3.905679,0.930066,-1.601904,-3.889718,0.928664,-1.461000,,,
5111,14.197222,0.993904,-0.062202,-0.089835,0.014661,-3.717599,0.911106,-1.557829,0.000000,-3.598185,0.901597,-1.465336,0.856516,-3.633062,0.899452,-1.684182,0.875479,-3.561111,0.895542,-1.581530,0.864324,-3.883155,0.928552,-1.459680,0.939225,-3.912481,0.930388,-1.598415,0.729178,-3.598186,0.901597,-1.465336,-3.633062,0.899452,-1.684182,-3.561111,0.895542,-1.581530,-3.883155,0.928552,-1.459680,-3.912481,0.930388,-1.598415,,,
5112,14.200000,-0.009280,0.072314,-0.037548,0.996632,-3.717360,0.911275,-1.554293,0.000000,-3.633656,0.900795,-1.679947,0.888024,-3.596906,0.900848,-1.461396,0.887748,-3.561564,0.894666,-1.581573,0.900797,-3.905316,0.930870,-1.594725,0.941330,-3.889356,0.929198,-1.453824,0.726549,-3.633656,0.900795,-1.679947,-3.596906,0.900848,-1.461396,-3.561563,0.894666,-1.581573,-3.905316,0.930870,-1.594725,-3.889356,0.929198,-1.453824,,,
5113,14.202778,0.993922,-0.061690,-0.090172,0.013538,-3.717215,0.911166,-1.550677,0.000000,-3.597744,0.901535,-1.458271,0.836422,-3.632738,0.899880,-1.677103,0.842859,-3.560728,0.895785,-1.574500,0.869898,-3.882732,0.928246,-1.452398,0.924459,-3.912135,0.930386,-1.591112,0.723946,-3.597744,0.901535,-1.458271,-3.632738,0.899880,-1.677103,-3.560728,0.895785,-1.574500,-3.882732,0.928246,-1.452398,-3.912135,0.930386,-1.591112,,,
5114,14.205556,-0.007424,0.071610,-0.038061,0.996679,-3.716971,0.911548,-1.547365,0.000000,-3.633085,0.901410,-1.672925,0.845488,-3.596676,0.900635,-1.454319,0.765205,-3.561154,0.894837,-1.574461,0.864882,-3.904839,0.931526,-1.588019,0.896377,-3.889101,0.929330,-1.447100,0.720000,-3.633085,0.901410,-1.672925,-3.596676,0.900635,-1.454319,-3.561154,0.894837,-1.574461,-3.904839,0.931526,-1.588019,-3.889101,0.929330,-1.447100,,,
5115,14.208333,-0.010590,0.072646,-0.036859,0.996620,-3.716873,0.910805,-1.543709,0.000000,-3.633250,0.900142,-1.669401,0.839255,-3.596332,0.900796,-1.450880,0.826343,-3.561072,0.894371,-1.571069,0.891595,-3.904891,0.930006,-1.584044,0.904386,-3.888819,0.928709,-1.443151,0.706048,-3.633250,0.900142,-1.669401,-3.596332,0.900796,-1.450880,-3.561072,0.894371,-1.571069,-3.904891,0.930006,-1.584044,-3.888819,0.928709,-1.443151,,,
5116,14.211111,-0.008643,0.072108,-0.037049,0.996671,-3.716682,0.911068,-1.540049,0.000000,-3.632911,0.900831,-1.665679,0.856524,-3.596261,0.900627,-1.447112,0.840702,-3.560858,0.894637,-1.567281,0.879403,-3.904637,0.930545,-1.580542,0.939908,-3.888740,0.928701,-1.439635,0.707820,-3.632911,0.900831,-1.665679,-3.596261,0.900627,-1.447112,-3.560858,0.894637,-1.567281,-3.904637,0.930545,-1.580542,-3.888740,0.928701,-1.439635,,,
5117,14.213889,-0.007688,0.072300,-0.037139,0.996662,-3.716736,0.911448,-1.537090,0.000000,-3.633008,0.901423,-1.662765,0.841519,-3.596289,0.900792,-1.444210,0.791766,-3.560926,0.895019,-1.564401,0.863370,-3.904697,0.931063,-1.577486,0.904938,-3.888757,0.928945,-1.436588,0.712415,-3.633008,0.901423,-1.662765,-3.596289,0.900792,-1.444210,-3.560926,0.895019,-1.564401,-3.904697,0.931063,-1.577486,-3.888757,0.928945,-1.436588,,,
5118,14.216667,-0.010493,0.073585,-0.037102,0.996543,-3.716266,0.910690,-1.533017,0.000000,-3.632884,0.900013,-1.658868,0.880153,-3.595557,0.900597,-1.440417,0.856931,-3.560526,0.894181,-1.560672,0.892730,-3.904349,0.929999,-1.572996,0.910939,-3.888015,0.928662,-1.432134,0.760370,-3.632884,0.900013,-1.658868,-3.595557,0.900597,-1.440417,-3.560526,0.894181,-1.560672,-3.904349,0.929999,-1.572996,-3.888015,0.928662,-1.432134,,,
5119,14.219444,-0.007879,0.072553,-0.037656,0.996622,-3.716264,0.910765,-1.529616,0.000000,-3.632611,0.900600,-1.655329,0.861468,-3.595781,0.900027,-1.436793,0.834719,-3.560485,0.894166,-1.557000,0.861812,-3.904227,0.930551,-1.569924,0.927672,-3.888216,0.928479,-1.429033,0.687319,-3.632611,0.900600,-1.655329,-3.595781,0.900027,-1.436793,-3.560485,0.894166,-1.557000,-3.904227,0.930551,-1.569924,-3.888216,0.928479,-1.429033,,,
5120,14.222222,-0.005784,0.072813,-0.036989,0.996643,-3.716204,0.911249,-1.526305,0.000000,-3.632588,0.901710,-1.652092,0.844587,-3.595676,0.900236,-1.433574,0.821614,-3.560419,0.894928,-1.553817,0.858946,-3.904202,0.931016,-1.566459,0.916929,-3.888137,0.928355,-1.425584,0.709982,-3.632588,0.901710,-1.652092,-3.595676,0.900236,-1.433574,-3.560419,0.894928,-1.553817,-3.904202,0.931016,-1.566459,-3.888137,0.928355,-1.425584,,,
5121,14.225000,-0.010876,0.073081,-0.035709,0.996627,-3.716022,0.911282,-1.522524,0.000000,-3.632489,0.900768,-1.648289,0.886015,-3.595374,0.901588,-1.429802,0.846581,-3.560209,0.895200,-1.550020,0.873452,-3.904121,0.930032,-1.562695,0.926791,-3.887918,0.928825,-1.421816,0.738609,-3.632489,0.900768,-1.648289,-3.595374,0.901588,-1.429802,-3.560209,0.895200,-1.550020,-3.904121,0.930032,-1.562695,-3.887918,0.928825,-1.421816,,,
5122,14.227778,-0.007267,0.072601,-0.038399,0.996595,-3.715787,0.910832,-1.519169,0.000000,-3.632155,0.900676,-1.644898,0.878658,-3.595317,0.899801,-1.426364,0.845543,-3.560036,0.894019,-1.546579,0.883078,-3.903720,0.930959,-1.559447,0.940499,-3.887707,0.928704,-1.418560,0.719452,-3.632155,0.900676,-1.644898,-3.595317,0.899801,-1.426364,-3.560036,0.894019,-1.546579,-3.903720,0.930959,-1.559447,-3.887707,0.928704,-1.418560,,,
5123,14.230556,-0.008938,0.072728,-0.035893,0.996666,-3.715643,0.911053,-1.515879,0.000000,-3.632010,0.900963,-1.641612,0.867733,-3.595080,0.900928,-1.423092,0.825627,-3.559817,0.894975,-1.543303,0.861583,-3.903695,0.930075,-1.556138,0.938549,-3.887614,0.928321,-1.415251,0.722195,-3.632010,0.900963,-1.641612,-3.595080,0.900928,-1.423092,-3.559817,0.894975,-1.543303,-3.903695,0.930075,-1.556138,-3.887614,0.928321,-1.415251,,,
5124,14.233333,-0.009934,0.072767,-0.035828,0.996656,-3.715572,0.911312,-1.512406,0.000000,-3.631955,0.900998,-1.638132,0.917982,-3.594992,0.901403,-1.419618,0.838557,-3.559746,0.895223,-1.539823,0.913825,-3.903636,0.930204,-1.552674,0.950051,-3.887532,0.928732,-1.411787,0.744155,-3.631955,0.900998,-1.638132,-3.594992,0.901403,-1.419618,-3.559746,0.895223,-1.539823,-3.903635,0.930204,-1.552674,-3.887532,0.928732,-1.411787,,,
5125,14.236111,-0.008291,0.072843,-0.036729,0.996632,-3.715328,0.911328,-1.508900,0.000000,-3.631734,0.901239,-1.634659,0.883057,-3.594767,0.900881,-1.416145,0.834064,-3.559535,0.895008,-1.536370,0.877550,-3.903353,0.930730,-1.549103,0.944041,-3.887251,0.928782,-1.408221,0.697697,-3.631735,0.901239,-1.634659,-3.594767,0.900881,-1.416145,-3.559536,0.895008,-1.536370,-3.903353,0.930730,-1.549103,-3.887251,0.928782,-1.408222,,,
5126,14.238889,-0.007742,0.072760,-0.037321,0.996621,-3.715204,0.911233,-1.505029,0.000000,-3.631596,0.901165,-1.630781,0.864233,-3.594676,0.900542,-1.412260,0.871687,-3.559426,0.894744,-1.532483,0.878276,-3.903196,0.930912,-1.545254,0.936114,-3.887126,0.928803,-1.404371,0.745645,-3.631596,0.901165,-1.630781,-3.594676,0.900542,-1.412260,-3.559426,0.894744,-1.532483,-3.903196,0.930912,-1.545254,-3.887126,0.928803,-1.404371,,,
5127,14.241667,-0.008959,0.073178,-0.035570,0.996644,-3.715147,0.911252,-1.501989,0.000000,-3.631622,0.901221,-1.627798,0.881381,-3.594493,0.901201,-1.409311,0.863444,-3.559336,0.895275,-1.529555,0.897950,-3.903248,0.930156,-1.542076,0.928447,-3.887037,0.928407,-1.401204,0.746923,-3.631622,0.901221,-1.627798,-3.594493,0.901201,-1.409311,-3.559336,0.895275,-1.529555,-3.903248,0.930156,-1.542076,-3.887037,0.928407,-1.401204,,,
5128,14.244444,-0.008812,0.073200,-0.037069,0.996589,-3.714838,0.911464,-1.498589,0.000000,-3.631344,0.901190,-1.624400,0.853207,-3.594213,0.901042,-1.405914,0.830833,-3.559075,0.895019,-1.526158,0.869775,-3.902881,0.930938,-1.538672,0.933396,-3.886674,0.929129,-1.397800,0.712185,-3.631344,0.901190,-1.624400,-3.594213,0.901042,-1.405914,-3.559075,0.895019,-1.526158,-3.902881,0.930938,-1.538672,-3.886674,0.929129,-1.397800,,,
5129,14.247222,-0.009606,0.072817,-0.035774,0.996657,-3.714624,0.911164,-1.494898,0.000000,-3.631016,0.900938,-1.620636,0.884515,-3.594036,0.901200,-1.402125,0.859404,-3.558799,0.895102,-1.522337,0.891011,-3.902692,0.930071,-1.535139,0.942320,-3.886578,0.928507,-1.394253,0.751884,-3.631016,0.900938,-1.620636,-3.594036,0.901200,-1.402125,-3.558799,0.895102,-1.522337,-3.902692,0.930071,-1.535139,-3.886578,0.928507,-1.394253,,,
5130,14.250000,-0.007726,0.072951,-0.037627,0.996596,-3.714627,0.911351,-1.491512,0.000000,-3.631072,0.901231,-1.617295,0.866396,-3.594070,0.900585,-1.398788,0.862679,-3.558869,0.894766,-1.519024,0.883377,-3.902621,0.931146,-1.531665,0.928745,-3.886500,0.929026,-1.390788,0.736189,-3.631072,0.901231,-1.617295,-3.594070,0.900585,-1.398788,-3.558869,0.894766,-1.519024,-3.902622,0.931146,-1.531665,-3.886500,0.929026,-1.390788,,,
5131,14.252778,-0.009770,0.073140,-0.037116,0.996583,-3.714287,0.911764,-1.487984,0.000000,-3.630787,0.901253,-1.613771,0.866396,-3.593667,0.901526,-1.395283,0.862679,-3.558523,0.895274,-1.515514,0.883377,-3.902330,0.931152,-1.528113,0.928745,-3.886129,0.929615,-1.387238,0.736189,-3.630787,0.901253,-1.613771,-3.593667,0.901526,-1.395283,-3.558523,0.895274,-1.515514,-3.902330,0.931152,-1.528113,-3.886129,0.929615,-1.387238,,,
5132,14.255556,-0.008418,0.072871,-0.037047,0.996618,-3.714325,0.911089,-1.484510,0.000000,-3.630745,0.900911,-1.610271,0.850929,-3.593765,0.900596,-1.391760,0.846317,-3.558544,0.894665,-1.511984,0.888282,-3.902341,0.930595,-1.524708,0.927530,-3.886231,0.928679,-1.383826,0.734684,-3.630745,0.900911,-1.610271,-3.593765,0.900596,-1.391760,-3.558544,0.894665,-1.511984,-3.902341,0.930595,-1.524708,-3.886231,0.928679,-1.383826,,,
5133,14.258333,-0.007707,0.073762,-0.038114,0.996518,-3.714224,0.911623,-1.481029,0.000000,-3.630883,0.901424,-1.606947,0.883091,-3.593528,0.900735,-1.388501,0.848038,-3.558527,0.894885,-1.508794,0.880521,-3.902264,0.931606,-1.520877,0.942935,-3.885916,0.929466,-1.380026,0.718713,-3.630883,0.901424,-1.606947,-3.593528,0.900735,-1.388501,-3.558527,0.894885,-1.508794,-3.902264,0.931606,-1.520877,-3.885916,0.929466,-1.380026,,,
5134,14.261111,-0.008412,0.073336,-0.036278,0.996612,-3.714137,0.911524,-1.477450,0.000000,-3.630660,0.901494,-1.603291,0.859019,-3.593474,0.901200,-1.384815,0.855332,-3.558357,0.895341,-1.505074,0.877274,-3.902220,0.930750,-1.517468,0.917174,-3.885974,0.928836,-1.376602,0.716023,-3.630660,0.901494,-1.603291,-3.593474,0.901200,-1.384815,-3.558357,0.895341,-1.505074,-3.902220,0.930750,-1.517468,-3.885974,0.928836,-1.376602,,,
